Name,Muscle,Equipment,Type,Video,Image 1,Image 2,Rating
Triceps Stretch,triceps,none,strength,https://videos.bodybuilding.com/video/mp4/60000/60922m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/448/Male/m/448_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/448/Male/m/448_2.jpg,4.8
EZ Bar-Skullcrusher,triceps,e-z curl bar,strength,https://videos.bodybuilding.com/video/mp4/104000/104972m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1641/Male/m/1641_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1641/Male/m/1641_2.jpg,9
Close Grip- EZ Bar Press,triceps,e-z curl bar,strength,https://videos.bodybuilding.com/video/mp4/104000/104992m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1701/Male/m/1701_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1701/Male/m/1701_2.jpg,8.8
Lying Tricep Press,triceps,e-z curl bar,strength,https://videos.bodybuilding.com/video/mp4/28000/29721m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/342/Male/m/342_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/342/Male/m/342_2.jpg,8.1
Lying Close- Grip Barbell Triceps Press to Chin,triceps,e-z curl bar,strength,https://videos.bodybuilding.com/video/mp4/28000/29611m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/356/Male/m/356_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/356/Male/m/356_2.jpg,8
Weighted Bench Dip,triceps,other,strength,https://videos.bodybuilding.com/video/mp4/32000/32771m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/334/Male/m/334_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/334/Male/m/334_2.jpg,9.1
Ring Dips,triceps,other,strength,https://videos.bodybuilding.com/video/mp4/100000/100362m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1431/Male/m/1431_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1431/Male/m/1431_2.jpg,8.8
Parallel Bar Dip,triceps,other,strength,https://videos.bodybuilding.com/video/mp4/100000/100042m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1461/Male/m/1461_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1461/Male/m/1461_2.jpg,8.8
Chain Handle Extension,triceps,other,powerlifting,https://videos.bodybuilding.com/video/mp4/76000/77182m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/733/Male/m/733_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/733/Male/m/733_2.jpg,8.3
Sled Overhead Triceps Extension,triceps,other,strength,https://videos.bodybuilding.com/video/mp4/98000/99302m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1321/Male/m/1321_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1321/Male/m/1321_2.jpg,NA
